Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","uniboard","888 NovaBlack","https://www.uniboard.com/en/panels/tfl-panels/novablack","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/888_NovaNoir_NovaBlack/image-thumb__36133__uniboard360x360/888_NovaNoir_NovaBlack_Dolomite_48x24_37dpi.png&query=","#1A1914"
"DB","uniboard","920 New England Almond","https://www.uniboard.com/en/panels/tfl-panels/new-england-almond","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/920_Amande%20N-Angleterre_New-England%20Almond/image-thumb__36138__uniboard360x360/920_Amande%20N-Angleterre_New-England%20Almond_Dolomite_48x24_37dpi.png&query=","#E8E2BE"
"DB","uniboard","934 Platinum","https://www.uniboard.com/en/panels/tfl-panels/platinum","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/934_Platinum_Platinum/image-thumb__36142__uniboard360x360/934_Platinum_Platinum_Dolomite_48x24_37dpi.png&query=","#999F9B"
"DB","uniboard","961 Stainless","https://www.uniboard.com/en/panels/tfl-panels/stainless","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/961_Aluminium_Stainless/image-thumb__36150__uniboard360x360/961_Aluminium_Stainless_Dolomite_48x24_37dpi.png&query=","#888C85"
"DB","uniboard","965 Port","https://www.uniboard.com/en/panels/tfl-panels/port","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/965_Porto_Port/image-thumb__36154__uniboard360x360/965_Porto_Port_Dolomite_48x24_37dpi.png&query=","#5C3026"
"DB","uniboard","992 Hardrock Maple","https://www.uniboard.com/en/panels/tfl-panels/hardrock-maple","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/992_%C3%89rable%20Hardrock_Hardrock%20Maple/image-thumb__36159__uniboard360x360/992_%C3%89rable%20Hardrock_Hardrock%20Maple_Dolomite_48x24_37dpi.png&query=","#D2B382"
"DB","uniboard","G16 Milano Oak","https://www.uniboard.com/en/panels/tfl-panels/milano-oak","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/G16_Ch%C3%AAne%20Milano_Milano%20Oak/image-thumb__36171__uniboard360x360/G16_Ch%C3%AAne%20Milano_Milano%20Oak_Dolomite_48x24_37dpi.png&query=","#37362F"
"DB","uniboard","G17 Grigio","https://www.uniboard.com/en/panels/tfl-panels/grigio","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/G17_Grigio_Grigio/image-thumb__36176__uniboard360x360/G17_Grigio_Grigio_Dolomite_48x24_37dpi.png&query=","#473A2D"
"DB","uniboard","G18 Caramello","https://www.uniboard.com/en/panels/tfl-panels/caramello","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/G18_Caramello_Caramello/image-thumb__36180__uniboard360x360/G18_Caramello_Caramello_Dolomite_48x24_37dpi.png&query=","#69472B"
"DB","uniboard","G20 Sheer Linen","https://www.uniboard.com/en/panels/tfl-panels/sheer-linen","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/G20_Lin%20Pur_Sheer%20Linen/image-thumb__36184__uniboard360x360/G20_Lin%20Pur_Sheer%20Linen_Calico_48x24_37dpi.png&query=","#BBBBB0"
"DB","uniboard","G21 Viva Walnut","https://www.uniboard.com/en/panels/tfl-panels/viva-walnut","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/G21_Noyer%20Viva_Viva%20Walnut/image-thumb__36189__uniboard360x360/G21_Noyer%20Viva_Viva%20Walnut_Dolomite_48x24_37dpi.png&query=","#54432E"
"DB","uniboard","G23 Coastal Pear","https://www.uniboard.com/en/panels/tfl-panels/coastal-pear","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/G23_Poirier%20de%20la%20C%C3%B4te_Coastal%20Pear/image-thumb__36197__uniboard360x360/G23_Poirier%20de%20la%20C%C3%B4te_Coastal%20Pear_HighGloss_48x24_37dpi.png&query=","#D2CDB2"
"DB","uniboard","G63 Acacia","https://www.uniboard.com/en/panels/tfl-panels/acacia","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/G63_Acacia_Acacia/image-thumb__43656__uniboard360x360/G63_Acacia_Acacia_Vellum_48x24_37dpi.png&query=","#D8CAA4"
"DB","uniboard","H50 Silva","https://www.uniboard.com/en/panels/tfl-panels/silva","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H50_Silva_Silva/image-thumb__36231__uniboard360x360/H50_Silva_Silva_BrushedElm_48x24_37dpi.png&query=","#37342C"
"DB","uniboard","H52 Riva","https://www.uniboard.com/en/panels/tfl-panels/riva","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H52_Riva_Riva/image-thumb__36240__uniboard360x360/H52_Riva_Riva_BrushedElm_48x24_37dpi.png&query=","#C8BDA2"
"DB","uniboard","H53 Ember","https://www.uniboard.com/en/panels/tfl-panels/ember","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H53_Cendr%C3%A9_Ember/image-thumb__36244__uniboard360x360/H53_Cendr%C3%A9_Ember_BrushedElm_48x24_37dpi.png&query=","#3B342C"
"DB","uniboard","H54 Skye","https://www.uniboard.com/en/panels/tfl-panels/skye","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H54_Skye_Skye/image-thumb__36249__uniboard360x360/H54_Skye_Skye_BrushedElm_48x24_37dpi.png&query=","#C7CBBC"
"DB","uniboard","H55 Mystic","https://www.uniboard.com/en/panels/tfl-panels/mystic","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H55_Mystique_Mystic/image-thumb__36253__uniboard360x360/H55_Mystique_Mystic_BrushedElm_48x24_37dpi.png&query=","#73634F"
"DB","uniboard","H56 Chill","https://www.uniboard.com/en/panels/tfl-panels/chill","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H56_Frisquet_Chill/image-thumb__36257__uniboard360x360/H56_Frisquet_Chill_Aura_48x24_37dpi.png&query=","#DADACE"
"DB","uniboard","H57 Haze","https://www.uniboard.com/en/panels/tfl-panels/haze","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H57_Brume_Haze/image-thumb__36262__uniboard360x360/H57_Brume_Haze_Aura_48x24_37dpi.png&query=","#7B7A6D"
"DB","uniboard","H58 Storm","https://www.uniboard.com/en/panels/tfl-panels/storm","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H58_Temp%C3%AAte_Storm/image-thumb__36266__uniboard360x360/H58_Temp%C3%AAte_Storm_Aura_48x24_37dpi.png&query=","#373731"
"DB","uniboard","H59 Twilight","https://www.uniboard.com/en/panels/tfl-panels/twilight","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H59_Cr%C3%A9puscule_Twilight/image-thumb__36271__uniboard360x360/H59_Cr%C3%A9puscule_Twilight_Aura_48x24_37dpi.png&query=","#4A4238"
"DB","uniboard","H65 Canyon","https://www.uniboard.com/en/panels/tfl-panels/canyon","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H65_Canyon_Canyon/image-thumb__36297__uniboard360x360/H65_Canyon_Canyon_Rio_48x24_37dpi.png&query=","#4F4439"
"DB","uniboard","H66 Vintage","https://www.uniboard.com/en/panels/tfl-panels/vintage","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H66_Vintage_Vintage/image-thumb__36301__uniboard360x360/H66_Vintage_Vintage_Rio_48x24_37dpi.png&query=","#48443E"
"DB","uniboard","H67 Kindle","https://www.uniboard.com/en/panels/tfl-panels/kindle","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H67_Feu_Kindle/image-thumb__36306__uniboard360x360/H67_Feu_Kindle_Aura_48x24_37dpi.png&query=","#6F5137"
"DB","uniboard","H68 Kohl","https://www.uniboard.com/en/panels/tfl-panels/kohl","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H68_Kh%C3%B4l_Kohl/image-thumb__36310__uniboard360x360/H68_Kh%C3%B4l_Kohl_Supermat_48x24_37dpi.png&query=","#3B3D3F"
"DB","uniboard","H69 Carbon","https://www.uniboard.com/en/panels/tfl-panels/carbon","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H69_Carbone_Carbon/image-thumb__36314__uniboard360x360/H69_Carbone_Carbon_Supermat_48x24_37dpi.png&query=","#545557"
"DB","uniboard","H70 Driftwood","https://www.uniboard.com/en/panels/tfl-panels/driftwood","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H70_D%C3%A9rive_Driftwood/image-thumb__36319__uniboard360x360/H70_D%C3%A9rive_Driftwood_BrushedElm_48x24_37dpi.png&query=","#9D977B"
"DB","uniboard","H72 Ginger Root","https://www.uniboard.com/en/panels/tfl-panels/ginger-root","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H72_Gingembre_Ginger%20Root/image-thumb__36327__uniboard360x360/H72_Gingembre_Ginger%20Root_Aura_48x24_37dpi.png&query=","#A88D63"
"DB","uniboard","H73 Cocoa Bean","https://www.uniboard.com/en/panels/tfl-panels/cocoa-bean","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H73_Graine%20de%20Cacao_Cocoa%20Bean/image-thumb__36332__uniboard360x360/H73_Graine%20de%20Cacao_Cocoa%20Bean_Aura_48x24_37dpi.png&query=","#5D503F"
"DB","uniboard","H74 Blackwood","https://www.uniboard.com/en/panels/tfl-panels/blackwood","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H74_Bois%20Noir_Blackwood/image-thumb__36336__uniboard360x360/H74_Bois%20Noir_Blackwood_Aura_48x24_37dpi.png&query=","#585240"
"DB","uniboard","H75 Tundra","https://www.uniboard.com/en/panels/tfl-panels/tundra","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H75_Tundra_Tundra/image-thumb__36341__uniboard360x360/H75_Tundra_Tundra_Aura_48x24_37dpi.png&query=","#DADCD7"
"DB","uniboard","H76 Memento","https://www.uniboard.com/en/panels/tfl-panels/memento","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/H76_Memento_Memento/image-thumb__36345__uniboard360x360/H76_Memento_Memento_Rio_48x24_37dpi.png&query=","#CACCC6"
"DB","uniboard","K01 Nutmeg","https://www.uniboard.com/en/panels/tfl-panels/nutmeg","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K01_Muscade_Nutmeg/image-thumb__36350__uniboard360x360/K01_Muscade_Nutmeg_Aura_48x24_37dpi.png&query=","#8A7354"
"DB","uniboard","K02 Sesame","https://www.uniboard.com/en/panels/tfl-panels/sesame","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K02_S%C3%A9same_Sesame/image-thumb__36354__uniboard360x360/K02_S%C3%A9same_Sesame_Aura_48x24_37dpi.png&query=","#A19477"
"DB","uniboard","K04 Smokewood","https://www.uniboard.com/en/panels/tfl-panels/smokewood","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K04_Bois%20Fum%C3%A9_SmokeWood/image-thumb__41782__uniboard360x360/K04_Bois%20Fum%C3%A9_SmokeWood_Rio_48x24_37dpi.png&query=","#5F4A36"
"DB","uniboard","K05 Barnwood","https://www.uniboard.com/en/panels/tfl-panels/barnwood","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K05_Bois%20de%20Grange_BarnWood/image-thumb__41785__uniboard360x360/K05_Bois%20de%20Grange_BarnWood_Rio_48x24_37dpi.png&query=","#4E4F48"
"DB","uniboard","K06 Silverwood","https://www.uniboard.com/en/panels/tfl-panels/silverwood","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K06_Bois%20Argent%C3%A9_SilverWood/image-thumb__41788__uniboard360x360/K06_Bois%20Argent%C3%A9_SilverWood_Rio_48x24_37dpi.png&query=","#938773"
"DB","uniboard","K07 Dew Drop","https://www.uniboard.com/en/panels/tfl-panels/dew-drop","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K07_Perle%20de%20Ros%C3%A9e_Dew%20Drop/image-thumb__36376__uniboard360x360/K07_Perle%20de%20Ros%C3%A9e_Dew%20Drop_Aura_48x24_37dpi.png&query=","#B2A489"
"DB","uniboard","K08 Luna","https://www.uniboard.com/en/panels/tfl-panels/luna","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K08_Luna_Luna/image-thumb__36380__uniboard360x360/K08_Luna_Luna_Supermat_48x24_37dpi.png&query=","#726F66"
"DB","uniboard","K13 Nizza","https://www.uniboard.com/en/panels/tfl-panels/nizza","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K13_Nizza_Nizza/image-thumb__36401__uniboard360x360/K13_Nizza_Nizza_RivieraOak_48x24_37dpi.png&query=","#C5C6A8"
"DB","uniboard","K14 Mistral","https://www.uniboard.com/en/panels/tfl-panels/mistral","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K14_Mistral_Mistral/image-thumb__36405__uniboard360x360/K14_Mistral_Mistral_RivieraOak_48x24_37dpi.png&query=","#B2A378"
"DB","uniboard","K15 Cannes","https://www.uniboard.com/en/panels/tfl-panels/cannes","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K15_Cannes_Cannes/image-thumb__36410__uniboard360x360/K15_Cannes_Cannes_RivieraOak_48x24_37dpi.png&query=","#A18655"
"DB","uniboard","K16 Esterel","https://www.uniboard.com/en/panels/tfl-panels/esterel","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K16_Est%C3%A9rel_Esterel/image-thumb__36414__uniboard360x360/K16_Est%C3%A9rel_Esterel_RivieraOak_48x24_37dpi.png&query=","#826F54"
"DB","uniboard","K17 Cassis","https://www.uniboard.com/en/panels/tfl-panels/cassis","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K17_Cassis_Cassis/image-thumb__36419__uniboard360x360/K17_Cassis_Cassis_RivieraOak_48x24_37dpi.png&query=","#5A5548"
"DB","uniboard","K18 Monaco","https://www.uniboard.com/en/panels/tfl-panels/monaco","https://www.uniboard.com/damProxy.php?request=vortek_surfaces_preview&path=/tmp/image-thumbnails/Materials/Uniboard/Packages/Images%20Web/K18_Monaco_Monaco/image-thumb__36423__uniboard360x360/K18_Monaco_Monaco_RivieraOak_48x24_37dpi.png&query=","#584E3F"
