Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","tafisa","HG Iron Horse","https://tafisa.ca/en/our-colours/iron-horse","https://tafisa.ca/sites/default/files/styles/medium/public/2020-11/HG834_24X24%20%28Medium%29.jpg?itok=NPJsAoEI","#3A2518"
"DB","tafisa","L830 Force of Nature","https://tafisa.ca/en/our-colours/force-of-nature","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/L830%28K%29%20Force%20of%20Nature_Force%20de%20la%20Nature_24X24%20%28Medium%29.jpg?itok=RBEUik6c","#CBC4B4"
"DB","tafisa","L538 River Rock","https://tafisa.ca/en/our-colours/river-rock","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L538%28A%29_24X24_72dpi.jpg?itok=M0DliyAl","#BFB8A6"
"DB","tafisa","L593 Mastermind","https://tafisa.ca/en/our-colours/mastermind","https://tafisa.ca/sites/default/files/styles/medium/public/2023-05/L593-12x12_Compress%C3%A9-moyen.jpg?itok=NSAn7HsM","#BBB3A4"
"DB","tafisa","L474 Brushed Aluminum","https://tafisa.ca/en/our-colours/brushed-aluminum","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L474%28C%29_24X24_72dpi.jpg?itok=P-QyTHoX","#BDB8B2"
"DB","tafisa","L831 Rock Solid","https://tafisa.ca/en/our-colours/rock-solid","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/L831%28K%29%20Roc%20Solid_Roc%20Solide_24X24%20%28Medium%29.jpg?itok=uD0BLkvG","#AEA69B"
"DB","tafisa","L533 Latitude East","https://tafisa.ca/en/our-colours/latitude-east","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L533%28A%29_24x24_72dpi.jpg?itok=FnNGBv3y","#A89D8C"
"DB","tafisa","M2013 Summertime Blues","https://tafisa.ca/en/our-colours/summertime-blues","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/tafisa_M2013%28Y%29_24X24_72dpi.jpg?itok=wxd_psfT","#A89C8B"
"DB","tafisa","L584 The Chameleon","https://tafisa.ca/en/our-colours/the-chameleon","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/L584%28K%29%20The%20Chameleon_Le%20Cam%C3%A9l%C3%A9on_24X24%20%28Medium%29.jpg?itok=eNsiRaK5","#A29175"
"DB","tafisa","L563 Mégantic","https://tafisa.ca/en/our-colours/megantic","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/Tafisa_L563%28R%29_24X24_72dpi.jpg?itok=nF9Z7sMZ","#97826B"
